,Author,Title,Rating,Text,Date
0,kalle-parviainen,High-budget Alien fan film,7,"A few hours after coming out of the theater and I'm not sure what to make of this. It was... okay, I guess?It felt like Fedy Alvarez examined the production of each of the previous films, and every left-over idea from them was thrown finally to the screen, along with rehashing the core components of the franchise. You have pieces from Alien, Aliens, Resurrection, and Prometheus/Covenant. For a fan of the series, there are subtle and not-so-subtle easter eggs every few minutes, from sound effects to reused dialogue.The plot is really simple, as it should be. A group of people exploring a space station. Been there, done that. However, I really liked the use of temperature and gravity in this film, those were something not seen much in this universe. And there were plenty of jump scares. I'm not usually a fan of those, but this time they worked well.The two lead actors were pretty good, the rest rather forgettable. And not sure what to make of the beyond-the-grave role of one actor...The world is great. Forget the sleek and clean world of Prometheus, this is back to the ugly 70s retro futuristic stuff. Simply lovely. Aesthetically pleasing, if you like this kind of look.Finally, however, it does feel like there is really nowhere for this franchise to go in terms of story. I wouldn't call it artistically bankrupt, but it is close. While this film tied neatly together the ""proper"" Alien films and the new Prometheus sidestep, it is hard to think what more to make of this creature. Nearly all the mystery has been stripped from the Xenomorph. I do wonder, is there anything left to do with this creature? More stand-alone films?",2024-08-14
1,andyelliott-53082,An Alien Greatest Hits album sung by a cover band.,6,"Positives first - Good action, great practical special effects, and nice visuals.Director Fede Alvarez and his production team have captured the gloomy atmosphere of Alien, and the thrilling action of Aliens almost perfectly. The action was thrilling with some scary moments.The use of practical effects and realistic miniatures was so refreshing to see in this age of CGI overkill. Seeing a fully realised Xenomorph in the flesh blew me away, and the Space scenes were beautiful. This camera work, visual presentation, and use of quality albeit limited CGI when necessary was excellent.Negatives - Average acting, nostalgia bait story, copy & pasted dialogue from better Alien movies, and the inclusion of lore elements from the inferior prequels which I wish did not exist in official canon. Plus the reveal of the villain was an ""oh, get out of here "" moment, I will say no more.Apart from the great lead actress Spaeny playing up her role, the other cast of actors/characters was just okay. I thought the nostalgia bait story was boring, eye-rolling, and almost 4th wall breaking, it ruined the immersion for me. I'm getting bored of sequels/prequels heavily relying on lazy ""remember-berries"" to get a kick out of the casual audience while making the Alien fans embarrassed almost angry. To be honest it's just lazy script writing, and disrespectful to the other Alien movies that did it first!. Unnecessary.Also the overuse of copy & pasted dialogue from the better Sigourney Weaver Alien movies was very cringe. 20th Century Studios should've called it Alien: Remember because of the over-reliance on oh you remember this bit from.. Lastly, trying to inject all the controversial and franchise damaging Prometheus nonsense into the film was frustrating, I hated all that origin of the Space Jockey and creation of the Xenomorph rubbish. And don't get me started on the villain, I don't want to spoil anything, but it was laughably lazy.I think setting the movie between the first 2 films was a mistake because you have to make your movie fit into the established continuity of the franchise with all the tie ins and plot beats required to make it fit. They should've done a sequel set years after Alien: Resurrection, and setup the start of a brand new Alien saga long after Weavers adventures (and with better writers onboard).This had the potential to be right up there with Aliens, but due to disappointing characters, a lacklustre ""remember-berry"" story, and poor script, it was a let down. Alien: Romulus, an above average Alien greatest hits movie, 4th best film in the franchise.",2024-08-17
2,bradaviel,The Rogue One of the Alien Franchise,8,"I had high hopes for this one and what can I say : I just got back into the theatre again after the first showing because I couldn't wait to see it a second time. Remember how we always wondered if Alien and Blade Runner took place in the same universe ? The world building was so well done and involving I was almost disappointed to remember after 30 minutes that I was to see an Alien movie. Almost. Because the rest is so good. The way the characters are built in relation to each other and against what's happening is masterful. I also love how the movie reunites thematically and lore wise ALL 6 movies that came before (there's a node to each and everyone of them and I'm a sucker for a good candy if it's done purposefully) while doing it's own thing. Because it IS a Fede Alvarez movie, as fresh and dynamic as the other movies he's done. Finally, you just have to see the opening : as soon as the computer lights up, you know where you are and you know it's gonna be as respectful and familiar as possible. True, there are liberties taken with the lore and some will argue on these with reason but I personally can forgive those shortcuts because they serve the pace (and every movie has its own specific Xenomorphs anyway). There's no down time, always something happening. It checks the boxes but it's also unique and special. This was well worth the wait.",2024-08-14
3,Pigeons1,"""In space no one can hear you sigh""",6,"At this point in 2024, there are more bad alien movies than good ones. So, something that pays homage to the originals really piqued my interest.Visually, it's vintage ""Alien/s"" albeit with modern polish. It looks great, spectacular even, especially the space scenes. The opening scene was perfect.The main problem with the movie is that there is zero tension, no sense of dread, and it's not scary, except for the last few scenes, which I enjoyed.The movie tries to force tension and intensity with another plot device on top of the alien-the equivalent of a bomb timer countdown. It doesn't work as it trumps the alien threat, they become inconvenient road blocks.The facehuggers have been reduced to annoying pests-something you can just bat away.The aliens are cannon fodder, and the cast just seems to bump into them. I didn't get the sense that they were being hunted. E.g The sentry cannon scene from Aliens, this movie references. But you don't see the aliens dieing in Aliens, you do here which makes them look weak. On a side note this scene also reminded me of the Starwars prison corridor ""boring conversation anyway"".Many scenes played out like a QuickTime event in a video game, with characters over-explaining and then narrating their actions: ""I'm going to press X to do this."" It's as if the audience needs to be told what they're watching and why they should feel scared or tense because there is no tension in the scene, despite an alien being present.I have concerns about adding more law etc into the franchise. I don't need to know how the alien works, it's not scary if you know everything about a monster. That's the point of a monster. They use this new found law to get past some aliens, again it was like a scene from a video game.It really nails the alien aesthetic, its a high paced movie with video game level writing and characters. Somewhat fun but ultimately disposable.",2024-08-15
4,pootc,All too familiar,6,"Alien: Romulus delivers a gritty experience reminiscent of the original film, with impressive world-building and familiar tech that longtime fans of the franchise will appreciate. The movie captures the essence of the Alien universe, offering a standalone story that fits well within the established timeline and cleverly nods to Prometheus.However, the film's reliance on callbacks to previous entries in the franchise detracts from its originality. While some references are clever, others are forced and cringeworthy.The introduction of the main character Rain, played by Cailee Spaeny, feels uninspired. We've seen this before - another Ripley. It's actually David Jonsson's character, Andy, who ends up being the most interesting by a long shot. If there is one franchise that would benefit from exploring new characters rather than rehashing old ones, this is it.Despite these negatives, Romulus is technically impressive. It's beautifully shot, the effects are good, it has some genuine scares, and manages to deliver solid thrills and action scenes that are sure to please. I just wish it were brave enough to carve out its own identity.",2024-08-17
5,zeki-4,This movie shows what is wrong with Hollywood today!,6,"Sure to be a crowdpleaser and produced to perfection this greatest hits album catering to generation Z, doesn't really tread new ground. Don't you dare to be original like 'Prometheus' or bold, like 'Alien: Covenant'. Just give the audience familiarity and play it somewhat safe.In a world where most new movies coming out from Hollywood are either reboots, remakes or sequels and where new ideas being greenlit are things of the past (unless it can be made on a small budget), we are being flooded with try-to-check-all-boxes movies with several screenwriters and focusgroups attached.Consider me worried.",2024-08-20
6,valmont1702,"Checks all the boxes, and more !...",8,"If you love the Alien franchise, there's a big chance this movie is gonna satisfy you quite a bit... Because it combines most of the notable elements that made the franchise oh so popular across the years (cf. There are multiple winks or easter eggs to the various movies of the franchise, via subtle elements, characters or story plots)...It is of course a product of our modern era (the filming technics, the effects), while also keeping most of the classic atmosphere and tone of the Alien movies...The visual language is pretty excellent overall, with some really striking shots here and there (great framing and composition)...Yes it might disappoint some, who have a feeling of ownership towards the franchise, because it definitely expands and explores the lore quite a lot (which is what I personally am looking for with sci-fi sagas that go on and on over decades)... Also, the lead actress (Cailee Spaeny) carries the movie really well, with silent strength, subtlety and intensity...So if you're looking for an Alien movie that uses most of the old ingredients while reintroducing and/or reinventing them, and exploring beyond what we've been used to... Then you're up for a great time !",2024-08-14
7,michaelsnyder-59725,"No Depth, No Soul",6,"Was truly hoping for something better given the decent number of positive reviews. But this was one-note through and through. No real tension, once you realize the generic script was going to stay that way. The 'twist' was as predictable as they come. Acting generic. Though Andy had his moments. The throwbacks to previous films were eye rolling and the rehash of the famous Aliens line was the most cringe of all. Even some of the sets looked cheap. I particularly remember a couple scenes that looked like they were hanging up those circular metallic bendable dryer vents. Everything was super dark, probably to hide what was probably terrible quality alien slime/hard mucus lining the walls. The face huggers particularly at the beginning looked very cheaply done. Stiff and jittery.Big letdown.",2024-08-17
8,enzo_gd,Disappointing and childish,3,"I didn't like the movie at all. It was just a mess of red lights and repeated visual effects, an uninspired collage of shots that recall scenes from each and every Alien movie. What was the point of making something like this? Was it to put the final nail in the coffin for the Alien saga? It seems long overdue!The inclusion of teenagers in the plot is completely illogical, even if they are supposedly tech-savvy. We're not talking about using a microwave or the latest smartphone here; this is advanced space technology! The whole thing is nonsense, with incoherent storytelling and a lack of real suspense. I've wasted two hours of my time !",2024-10-15
9,thatsgottahurt-1,Bland and Uninspired,6,"Let me just say that I have been with this franchise since day one. I can remember seeing the original in the cinema before I was a teenager. I have seen and enjoyed all the films many times over and appreciated the less popular ones in the series. Seeing Romulus was a disappointment. Its dark visuals, particularly the opening sequence, had me confused at times. The relevance of the opener became obvious later on. And the dialogue was muffled in spots, and I missed chunks trying to figure out what was said, thus missing the follow up. The story was uninspiring and the Xenomorphs were identical to previous incarnations (for the most part) and close ups of the mouth parts no longer cause fear or dread, just boredom. This is one in the franchise that I may not watch again.",2024-08-17
